Region,Country,Month,Value Column Name,Value
All,All,January,PY in millions,13186000
All,All,January,AC In  millions,13356000
All,All,January,AC In  millions - PY in millions,170000
All,All,January,(AC In  millions - PY in millions)%,0.012892462
All,All,October,PY in millions,15766000
All,All,October,AC In  millions,15324000
All,All,October,AC In  millions - PY in millions,-442000
All,All,October,(AC In  millions - PY in millions)%,-0.028035012
All,All,November,PY in millions,3350000
All,All,November,AC In  millions,3243000
All,All,November,AC In  millions - PY in millions,-107000
All,All,November,(AC In  millions - PY in millions)%,-0.031940299
Europe,All,January,PY in millions,
Europe,All,January,AC In  millions,
Europe,All,January,AC In  millions - PY in millions,
Europe,All,January,(AC In  millions - PY in millions)%,
Europe,All,October,PY in millions,
Europe,All,October,AC In  millions,
Europe,All,October,AC In  millions - PY in millions,
Europe,All,October,(AC In  millions - PY in millions)%,
Europe,All,November,PY in millions,
Europe,All,November,AC In  millions,
Europe,All,November,AC In  millions - PY in millions,
Europe,All,November,(AC In  millions - PY in millions)%,
Europe,Austria,January,PY in millions,1600000
Europe,Austria,January,AC In  millions,2964000
Europe,Austria,January,AC In  millions - PY in millions,1364000
Europe,Austria,January,(AC In  millions - PY in millions)%,0.8525
Europe,Austria,October,PY in millions,2918000
Europe,Austria,October,AC In  millions,1986000
Europe,Austria,October,AC In  millions - PY in millions,-932000
Europe,Austria,October,(AC In  millions - PY in millions)%,-0.319396847
Europe,Austria,November,PY in millions,560000
Europe,Austria,November,AC In  millions,559000
Europe,Austria,November,AC In  millions - PY in millions,-1000
Europe,Austria,November,(AC In  millions - PY in millions)%,-0.001785714
Europe,Belgium,January,PY in millions,375000
Europe,Belgium,January,AC In  millions,136000
Europe,Belgium,January,AC In  millions - PY in millions,-239000
Europe,Belgium,January,(AC In  millions - PY in millions)%,-0.637333333
Europe,Belgium,October,PY in millions,100000
Europe,Belgium,October,AC In  millions,290000
Europe,Belgium,October,AC In  millions - PY in millions,190000
Europe,Belgium,October,(AC In  millions - PY in millions)%,1.9
Europe,Belgium,November,PY in millions,56000
Europe,Belgium,November,AC In  millions,58000
Europe,Belgium,November,AC In  millions - PY in millions,2000
Europe,Belgium,November,(AC In  millions - PY in millions)%,0.035714286
Europe,France,January,PY in millions,350000
Europe,France,January,AC In  millions,134000
Europe,France,January,AC In  millions - PY in millions,-216000
Europe,France,January,(AC In  millions - PY in millions)%,-0.617142857
Europe,France,October,PY in millions,800000
Europe,France,October,AC In  millions,520000
Europe,France,October,AC In  millions - PY in millions,-280000
Europe,France,October,(AC In  millions - PY in millions)%,-0.35
Europe,France,November,PY in millions,140000
Europe,France,November,AC In  millions,134000
Europe,France,November,AC In  millions - PY in millions,-6000
Europe,France,November,(AC In  millions - PY in millions)%,-0.042857143
Europe,Germany,January,PY in millions,1500000
Europe,Germany,January,AC In  millions,1000000
Europe,Germany,January,AC In  millions - PY in millions,-500000
Europe,Germany,January,(AC In  millions - PY in millions)%,-0.333333333
Europe,Germany,October,PY in millions,1279000
Europe,Germany,October,AC In  millions,1590000
Europe,Germany,October,AC In  millions - PY in millions,311000
Europe,Germany,October,(AC In  millions - PY in millions)%,0.243158718
Europe,Germany,November,PY in millions,345000
Europe,Germany,November,AC In  millions,260000
Europe,Germany,November,AC In  millions - PY in millions,-85000
Europe,Germany,November,(AC In  millions - PY in millions)%,-0.246376812
Europe,Poland,January,PY in millions,438000
Europe,Poland,January,AC In  millions,200000
Europe,Poland,January,AC In  millions - PY in millions,-238000
Europe,Poland,January,(AC In  millions - PY in millions)%,-0.543378995
Europe,Poland,October,PY in millions,300000
Europe,Poland,October,AC In  millions,568000
Europe,Poland,October,AC In  millions - PY in millions,268000
Europe,Poland,October,(AC In  millions - PY in millions)%,0.893333333
Europe,Poland,November,PY in millions,78000
Europe,Poland,November,AC In  millions,86000
Europe,Poland,November,AC In  millions - PY in millions,8000
Europe,Poland,November,(AC In  millions - PY in millions)%,0.102564103
Europe,Sweden,January,PY in millions,332000
Europe,Sweden,January,AC In  millions,428000
Europe,Sweden,January,AC In  millions - PY in millions,96000
Europe,Sweden,January,(AC In  millions - PY in millions)%,0.289156627
Europe,Sweden,October,PY in millions,400000
Europe,Sweden,October,AC In  millions,250000
Europe,Sweden,October,AC In  millions - PY in millions,-150000
Europe,Sweden,October,(AC In  millions - PY in millions)%,-0.375
Europe,Sweden,November,PY in millions,77000
Europe,Sweden,November,AC In  millions,86000
Europe,Sweden,November,AC In  millions - PY in millions,9000
Europe,Sweden,November,(AC In  millions - PY in millions)%,0.116883117
Europe,Switzerland,January,PY in millions,243000
Europe,Switzerland,January,AC In  millions,432000
Europe,Switzerland,January,AC In  millions - PY in millions,189000
Europe,Switzerland,January,(AC In  millions - PY in millions)%,0.777777778
Europe,Switzerland,October,PY in millions,300000
Europe,Switzerland,October,AC In  millions,180000
Europe,Switzerland,October,AC In  millions - PY in millions,-120000
Europe,Switzerland,October,(AC In  millions - PY in millions)%,-0.4
Europe,Switzerland,November,PY in millions,61000
Europe,Switzerland,November,AC In  millions,66000
Europe,Switzerland,November,AC In  millions - PY in millions,5000
Europe,Switzerland,November,(AC In  millions - PY in millions)%,0.081967213
Europe,Other,January,PY in millions,3235000
Europe,Other,January,AC In  millions,1500000
Europe,Other,January,AC In  millions - PY in millions,-1735000
Europe,Other,January,(AC In  millions - PY in millions)%,-0.536321484
Europe,Other,October,PY in millions,1865000
Europe,Other,October,AC In  millions,3396000
